Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
1.472,-0.073235686,-0.101198402,-0.001861106,,,
1.476,-0.073235686,-0.101198402,-0.001903507,,,
1.48,-0.073235686,-0.101198402,-0.001945837,,,
1.484,-0.073235686,-0.101198402,-0.001988098,,,
1.488,-0.073235686,-0.101198402,-0.002030288,,,
1.492,-0.073235686,-0.101198402,-0.002072408,,,
1.496,-0.073235686,-0.101198402,-0.002114458,,,
1.5,-0.073235686,0.898801598,-0.00170692,,,
1.504,-0.073235686,-0.101198402,-0.001749577,,,
1.508,-0.073235686,-0.101198402,-0.001792163,,,
1.512,-0.073235686,-0.101198402,-0.001834679,,,
1.516,-0.073235686,-0.101198402,-0.001877124,,,
1.52,-0.073235686,-0.101198402,-0.001919498,,,
1.524,-0.073235686,-0.101198402,-0.001961802,,,
1.528,-0.073235686,-0.101198402,-0.002004036,,,
1.532,-0.073235686,-0.101198402,-0.002046199,,,
1.536,-0.073235686,-0.101198402,-0.002088293,,,
1.54,0.926764314,-0.101198402,-0.002130317,,,
1.544,-0.073235686,0.898801598,-0.001722753,,,
1.548,-0.073235686,-0.101198402,-0.001765384,,,
1.552,-0.073235686,-0.101198402,-0.001807943,,,
1.556,0.926764314,-0.101198402,-0.001850433,,,
1.56,-0.073235686,-0.101198402,-0.001892851,,,
1.564,-0.073235686,-0.101198402,-0.001935199,,,
1.568,-0.073235686,-0.101198402,-0.001977477,,,
1.572,-0.073235686,-0.101198402,-0.002019685,,,
1.576,-0.073235686,-0.101198402,-0.002061823,,,
1.58,-0.073235686,-0.101198402,-0.002103891,,,
1.584,-0.073235686,-0.101198402,-0.002145888,,,
1.588,-0.073235686,-0.101198402,-0.002187817,,,
1.592,-0.073235686,-0.101198402,-0.002229675,,,
1.596,-0.073235686,-0.101198402,-0.002271464,,,
1.6,-0.073235686,0.898801598,-0.001863666,,,
1.604,-0.073235686,-0.101198402,-0.001906063,,,
1.608,-0.073235686,-0.101198402,-0.001948389,,,
1.612,-0.073235686,-0.101198402,-0.001990645,,,
1.616,-0.073235686,-0.101198402,-0.002032831,,,
1.62,-0.073235686,-0.101198402,-0.002074947,,,
1.624,-0.073235686,-0.101198402,-0.002116993,,,
1.628,-0.073235686,-0.101198402,-0.002158969,,,
1.632,-0.073235686,-0.101198402,-0.002200875,,,
1.636,-0.073235686,-0.101198402,-0.002242712,,,
1.64,-0.073235686,-0.101198402,-0.00228448,,,
1.644,-0.073235686,-0.101198402,-0.002326178,,,
1.648,-0.073235686,-0.101198402,-0.002367807,,,
1.652,-0.073235686,-0.101198402,-0.002409367,,,
1.656,-0.073235686,-0.101198402,-0.002450857,,,
1.66,-0.073235686,-0.101198402,-0.002492279,,,
1.664,-0.073235686,-0.101198402,-0.002533632,,,
1.668,-0.073235686,-0.101198402,-0.002574917,,,
1.672,-0.073235686,-0.101198402,-0.002616133,,,
1.676,-0.073235686,-0.101198402,-0.00265728,,,
1.68,1.926764314,-0.101198402,-0.00269836,,,
1.684,0.926764314,0.898801598,-0.002289853,,,
1.688,-0.073235686,-0.101198402,-0.002331542,,,
1.692,-0.073235686,-0.101198402,-0.002373162,,,
1.696,0.926764314,-0.101198402,-0.002414713,,,
